Alabama,71
Alabama,73.6
Alabama,72
Alabama,69.2
Alabama,70.6
Alabama,68.5
Alabama,67.1
Alabama,64.5
Alabama,63.9
Alabama,60.9
Alabama,60.7
Alabama,55.7
Alabama,53.6
Alabama,51.4
Alabama,51
Alabama,48.1
Alabama,51.8
Alabama,52.1
Alabama,50.5
Alabama,48.3
Alabama,43.6
Alabama,40.5
Alabama,39.2
Alabama,34.3
Alabama,32
Alaska,65.3
Alaska,66
Alaska,65.2
Alaska,59.7
Alaska,59.5
Alaska,54.5
Alaska,50.8
Alaska,49.3
Alaska,47.5
Alaska,47.7
Alaska,49
Alaska,42.9
Alaska,42.4
Alaska,41.2
Alaska,41.7
Alaska,39.9
Alaska,41.8
Alaska,42.9
Alaska,44.2
Alaska,43.2
Alaska,38.3
Alaska,36.2
Alaska,34.5
Alaska,30.3
Alaska,27.8
Arizona,75.5
Arizona,79.7
Arizona,80.2
Arizona,78.1
Arizona,76.8
Arizona,73.5
Arizona,71.5
Arizona,68.7
Arizona,68.8
Arizona,68
Arizona,67.9
Arizona,65.3
Arizona,62.6
Arizona,61.9
Arizona,60.8
Arizona,58.7
Arizona,61.2
Arizona,59.6
Arizona,54.5
Arizona,48.6
Arizona,41.9
Arizona,38.5
Arizona,37.4
Arizona,33.1
Arizona,29.9
Arkansas,80.1
Arkansas,79.5
Arkansas,74.8
Arkansas,72.8
Arkansas,74.8
Arkansas,71.9
Arkansas,73.5
Arkansas,70.8
Arkansas,68.7
Arkansas,66.1
Arkansas,66.2
Arkansas,62.7
Arkansas,60.4
Arkansas,59.3
Arkansas,60.3
Arkansas,58.6
Arkansas,60.8
Arkansas,60.1
Arkansas,59.8
Arkansas,57.8
Arkansas,52.5
Arkansas,50.7
Arkansas,45.7
Arkansas,43.5
Arkansas,39.5
California,70.6
California,73.8
California,72.8
California,71.8
California,70.2
California,66.8
California,61
California,55.7
California,52
California,49.1
California,47
California,44.5
California,41.6
California,40.1
California,39.5
California,38.7
California,39.9
California,39.6
California,37.9
California,34.9
California,31.5
California,28.7
California,26.5
California,23.6
California,21.1
Colorado,54.5
Colorado,58.3
Colorado,58.4
Colorado,55.8
Colorado,55.2
Colorado,52.3
Colorado,50.7
Colorado,49.3
Colorado,50.2
Colorado,50
Colorado,51.3
Colorado,47
Colorado,46.9
Colorado,43.1
Colorado,43.3
Colorado,41.8
Colorado,41.9
Colorado,41.6
Colorado,40.5
Colorado,37.7
Colorado,33.4
Colorado,28.9
Colorado,25.4
Colorado,23.4
Colorado,20.3
Connecticut,38.8
Connecticut,40.1
Connecticut,39
Connecticut,38.8
Connecticut,39.7
Connecticut,38.6
Connecticut,36.6
Connecticut,35.1
Connecticut,34.9
Connecticut,32.7
Connecticut,31.1
Connecticut,28.1
Connecticut,25.7
Connecticut,24.6
Connecticut,24.4
Connecticut,23.3
Connecticut,23.5
Connecticut,23
Connecticut,22.6
Connecticut,21.2
Connecticut,18.7
Connecticut,16.4
Connecticut,15.1
Connecticut,12.9
Connecticut,11.5
Delaware,54.5
Delaware,60.4
Delaware,58.7
Delaware,58
Delaware,57.8
Delaware,54.6
Delaware,53.8
Delaware,52.3
Delaware,50.6
Delaware,50.7
Delaware,48
Delaware,45
Delaware,42.6
Delaware,41.6
Delaware,40
Delaware,40.1
Delaware,40.6
Delaware,39.2
Delaware,38.3
Delaware,33.5
Delaware,30.5
Delaware,29.3
Delaware,25
Delaware,24.7
Delaware,20.7
District of Columbia,93.1
District of Columbia,109.6
District of Columbia,106.7
District of Columbia,112.8
District of Columbia,97
District of Columbia,85.2
District of Columbia,79.2
District of Columbia,67.1
District of Columbia,62
District of Columbia,56
District of Columbia,53.2
District of Columbia,50.1
District of Columbia,47.3
District of Columbia,42.3
District of Columbia,43.5
District of Columbia,42.1
District of Columbia,48.1
District of Columbia,50.4
District of Columbia,51.1
District of Columbia,48.5
District of Columbia,45.4
District of Columbia,42.8
District of Columbia,38.6
District of Columbia,32.1
District of Columbia,28.4
Florida,69.1
Florida,67.9
Florida,65.2
Florida,63.7
Florida,63
Florida,60.2
Florida,57.2
Florida,55.8
Florida,53.9
Florida,51.7
Florida,51.1
Florida,48.1
Florida,45.1
Florida,43
Florida,42.7
Florida,42.3
Florida,43.1
Florida,43
Florida,40
Florida,36.6
Florida,32
Florida,29.5
Florida,28
Florida,24.6
Florida,22.5
Georgia,75.5
Georgia,76
Georgia,74.2
Georgia,72
Georgia,70.6
Georgia,69.8
Georgia,66.8
Georgia,65.6
Georgia,64
Georgia,63.5
Georgia,62.8
Georgia,59.8
Georgia,55.6
Georgia,53.1
Georgia,52.7
Georgia,52
Georgia,53.7
Georgia,53.4
Georgia,50
Georgia,47
Georgia,41.4
Georgia,38.2
Georgia,33.8
Georgia,30.5
Georgia,28.4
